id,date,time,latitude,longitude
C30011,10-03-2014,01:39:10,-22.951254,-43.34832
C30011,10-03-2014,01:40:10,-22.951254,-43.34832
C30011,10-03-2014,01:41:09,-22.951254,-43.34832
C30011,10-03-2014,01:42:10,-22.951254,-43.34832
C30011,10-03-2014,01:43:10,-22.951254,-43.34832
C30011,10-03-2014,01:44:10,-22.951254,-43.34832
C30011,10-03-2014,01:45:10,-22.951254,-43.34832
C30011,10-03-2014,01:46:10,-22.951254,-43.34832
C30011,10-03-2014,01:47:10,-22.951254,-43.34832
C30011,10-03-2014,01:48:10,-22.951254,-43.34832
C30011,10-03-2014,01:49:10,-22.951254,-43.34832
C30011,10-03-2014,01:50:10,-22.951254,-43.34832
C30011,10-03-2014,01:51:10,-22.951254,-43.34832
C30011,10-03-2014,01:52:10,-22.951254,-43.34832
C30011,10-03-2014,01:53:10,-22.951254,-43.34832
C30011,10-03-2014,01:54:10,-22.951254,-43.34832
C30011,10-03-2014,01:55:10,-22.951254,-43.34832
C30011,10-03-2014,01:56:09,-22.951254,-43.34832
C30011,10-03-2014,01:57:10,-22.951254,-43.34832
C30011,10-03-2014,01:58:10,-22.951254,-43.34832
C30011,10-03-2014,01:59:10,-22.951254,-43.34832
C30011,10-03-2014,02:00:10,-22.951254,-43.34832
C30011,10-03-2014,02:01:09,-22.951254,-43.34832
C30011,10-03-2014,02:02:09,-22.951254,-43.34832
C30011,10-03-2014,02:03:09,-22.951254,-43.34832
C30011,10-03-2014,02:04:09,-22.951254,-43.34832
C30011,10-03-2014,02:05:09,-22.951254,-43.34832
C30011,10-03-2014,02:06:09,-22.951254,-43.34832
C30011,10-03-2014,02:08:10,-22.951254,-43.34832
C30011,10-03-2014,02:09:10,-22.951254,-43.34832
C30011,10-03-2014,02:10:09,-22.951254,-43.34832
C30011,10-03-2014,02:11:09,-22.951254,-43.34832
C30011,10-03-2014,02:12:09,-22.951254,-43.34832
C30011,10-03-2014,02:13:09,-22.951254,-43.34832
C30011,10-03-2014,02:14:09,-22.951254,-43.34832
C30011,10-03-2014,02:15:10,-22.951254,-43.34832
C30011,10-03-2014,02:16:09,-22.951254,-43.34832
C30011,10-03-2014,02:17:09,-22.951254,-43.34832
C30011,10-03-2014,02:18:09,-22.951254,-43.34832
C30011,10-03-2014,02:19:09,-22.951254,-43.34832
C30011,10-03-2014,02:19:39,-22.951254,-43.34832
C30011,10-03-2014,02:21:09,-22.951254,-43.34832
C30011,10-03-2014,02:22:59,-22.951254,-43.34832
C30011,10-03-2014,02:25:09,-22.951254,-43.34832
C30011,10-03-2014,02:26:09,-22.951254,-43.34832
C30011,10-03-2014,02:27:09,-22.951254,-43.34832
C30011,10-03-2014,02:28:09,-22.951254,-43.34832
C30011,10-03-2014,02:29:09,-22.951254,-43.34832
C30011,10-03-2014,02:30:09,-22.951254,-43.34832
C30011,10-03-2014,02:31:09,-22.951254,-43.34832
C30011,10-03-2014,02:32:09,-22.951254,-43.34832
C30011,10-03-2014,02:33:09,-22.951254,-43.34832
C30011,10-03-2014,02:34:09,-22.951254,-43.34832
C30011,10-03-2014,02:35:09,-22.951254,-43.34832
C30011,10-03-2014,02:36:09,-22.951254,-43.34832
C30011,10-03-2014,02:37:09,-22.951254,-43.34832
C30011,10-03-2014,02:38:09,-22.951254,-43.34832
C30011,10-03-2014,02:39:09,-22.951254,-43.34832
C30011,10-03-2014,02:40:09,-22.951254,-43.34832
C30011,10-03-2014,02:41:09,-22.951254,-43.34832
C30011,10-03-2014,02:42:09,-22.951254,-43.34832
C30011,10-03-2014,02:43:09,-22.951254,-43.34832
C30011,10-03-2014,02:44:09,-22.951254,-43.34832
C30011,10-03-2014,02:45:09,-22.951254,-43.34832
C30011,10-03-2014,02:46:09,-22.951254,-43.34832
C30011,10-03-2014,02:47:09,-22.951254,-43.34832
C30011,10-03-2014,02:48:09,-22.951254,-43.34832
C30011,10-03-2014,02:49:09,-22.951254,-43.34832
C30011,10-03-2014,02:50:09,-22.951254,-43.34832
C30011,10-03-2014,02:51:09,-22.951254,-43.34832
C30011,10-03-2014,02:52:09,-22.951254,-43.34832
C30011,10-03-2014,02:53:09,-22.951254,-43.34832
C30011,10-03-2014,02:54:09,-22.951254,-43.34832
C30011,10-03-2014,02:55:09,-22.951254,-43.34832
C30011,10-03-2014,02:56:09,-22.951254,-43.34832
C30011,10-03-2014,02:57:09,-22.951254,-43.34832
C30011,10-03-2014,02:58:09,-22.951254,-43.34832
C30011,10-03-2014,03:00:09,-22.951254,-43.34832
C30011,10-03-2014,03:01:09,-22.951254,-43.34832
C30011,10-03-2014,03:02:09,-22.951254,-43.34832
C30011,10-03-2014,03:03:09,-22.951254,-43.34832
C30011,10-03-2014,03:04:09,-22.951254,-43.34832
C30011,10-03-2014,03:05:09,-22.951254,-43.34832
C30011,10-03-2014,03:06:09,-22.951254,-43.34832
C30011,10-03-2014,03:07:09,-22.951254,-43.34832
C30011,10-03-2014,03:09:09,-22.951254,-43.34832
C30011,10-03-2014,03:10:09,-22.951254,-43.34832
C30011,10-03-2014,03:11:09,-22.951254,-43.34832
C30011,10-03-2014,03:12:09,-22.951254,-43.34832
C30011,10-03-2014,03:13:09,-22.951254,-43.34832
C30011,10-03-2014,03:15:09,-22.951254,-43.34832
C30011,10-03-2014,03:16:09,-22.951254,-43.34832
C30011,10-03-2014,03:17:09,-22.951254,-43.34832
C30011,10-03-2014,03:18:09,-22.951254,-43.34832
C30011,10-03-2014,03:19:09,-22.951254,-43.34832
C30011,10-03-2014,03:20:09,-22.951254,-43.34832
C30011,10-03-2014,03:21:09,-22.951254,-43.34832
C30011,10-03-2014,03:22:09,-22.951254,-43.34832
C30011,10-03-2014,03:23:09,-22.951254,-43.34832
C30011,10-03-2014,03:24:10,-22.951254,-43.34832
C30011,10-03-2014,03:26:10,-22.951254,-43.34832
C30011,10-03-2014,03:27:10,-22.951254,-43.34832
C30011,10-03-2014,03:28:10,-22.951254,-43.34832
C30011,10-03-2014,03:29:10,-22.951254,-43.34832
C30011,10-03-2014,03:30:09,-22.951254,-43.34832
C30011,10-03-2014,03:30:40,-22.951254,-43.34832
C30011,10-03-2014,03:33:09,-22.951254,-43.34832
C30011,10-03-2014,03:34:09,-22.951254,-43.34832
C30011,10-03-2014,03:35:10,-22.951254,-43.34832
C30011,10-03-2014,03:36:09,-22.950756,-43.348415
C30011,10-03-2014,03:37:12,-22.950783,-43.348454
C30011,10-03-2014,03:38:12,-22.950783,-43.348454
C30011,10-03-2014,03:39:12,-22.950783,-43.348454
C30011,10-03-2014,03:40:12,-22.950783,-43.348454
C30011,10-03-2014,03:41:12,-22.950783,-43.348454
C30011,10-03-2014,03:42:11,-22.950783,-43.348454
C30011,10-03-2014,03:44:11,-22.950783,-43.348454
C30011,10-03-2014,03:45:11,-22.950783,-43.348454
C30011,10-03-2014,03:46:11,-22.950783,-43.348454
C30011,10-03-2014,03:47:11,-22.949223,-43.34832
C30011,10-03-2014,03:48:12,-22.943808,-43.345997
C30011,10-03-2014,03:49:12,-22.939091,-43.34428
C30011,10-03-2014,03:50:12,-22.93714,-43.350792
C30011,10-03-2014,03:52:42,-22.924875,-43.360287
C30011,10-03-2014,03:54:12,-22.916525,-43.361599
C30011,10-03-2014,03:56:12,-22.915918,-43.361416
C30011,10-03-2014,03:58:12,-22.915918,-43.361416
C30011,10-03-2014,03:59:12,-22.915918,-43.361416
C30011,10-03-2014,03:59:42,-22.915918,-43.361416
C30011,10-03-2014,04:01:12,-22.915918,-43.361416
C30011,10-03-2014,04:02:12,-22.914726,-43.360989
C30011,10-03-2014,04:03:12,-22.9177,-43.361183
C30011,10-03-2014,04:03:42,-22.920542,-43.360313
C30011,10-03-2014,04:05:12,-22.927429,-43.359768
C30011,10-03-2014,04:06:12,-22.928797,-43.354771
C30011,10-03-2014,04:07:12,-22.935585,-43.352406
